Event ID,Event Date,Start Time,End Time,Event Name,Event Short Name,Event Description,Event Location,Admission,Alternate Event Location
3356,09/09/2017,5:00 PM,10:00 PM,Hispanic Heritage Celebration,Hispanic Heritage,Currently booking for Event. Please check back for final show details soon.  Thankyou.,Empire State Plaza Convention Center,FREE, 
3446,09/04/2017,12:00 AM,12:00 PM,2017 Labor Day,Labor Day,Labor Day 2017  also known as Labour Day  is a federal holiday observed annually on the first Monday of September. Originally it was a day organized to celebrate various labor associations' strengths and their contributions to the United States economy and presently it is a day that gives workers a day of rest and celebrates their contribution to the American economy. It is the Monday of the long weekend known as Labor Day 2017 Weekend and it is considered the unofficial end of summer.,USA,FREE, 
3325,08/30/2017,8:00 PM,11:00 PM,West Capitol Park - Movie 3,WCP Movie 3,Currently booking for Event.  Please check back for final show details soon.,West Capitol Park,FREE, 
3324,08/23/2017,8:00 PM,11:00 PM,West Capitol Park - Movie 2,WCP - Movie 2,Currently booking for Event.  Please check back for final show details soon.,West Capitol Park on the lawn,FREE, 
3323,08/16/2017,8:00 PM,11:00 PM,Captitol Park After Dark 2017 - Movie 1,Movie 1,Currently booking for Event.  Please check back for final show details soon.,West Capitol Park - On the Lawn,FREE, 
3320,08/09/2017,11:00 AM,9:00 PM,Food Festival 2017,Food Festival 2017,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza,FREE, 
3319,08/05/2017,2:00 PM,7:00 PM,Black Arts and Cultural Festival 2017,BACF 2017,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza,FREE, 
3314,07/19/2017,5:00 PM,9:00 PM,Concert Series 2017 Concert 3,Concert Series 2017,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza - by the Museum Staircase,FREE, 
3318,07/15/2017,12:00 PM,5:00 PM,Kids Day 2017,Kids Day 2017,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza - weather permitting,FREE, 
3313,07/12/2017,5:00 PM,9:00 PM,Concert Series 2017 Concert 2,Concert Series 2017,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza - by the Museum Staircase,FREE, 
3317,07/04/2017,5:00 PM,10:00 PM,NYS July 4th 2017 Festival,July 4th 2017 Festival,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza - by the Museum Staircase,FREE, 
3315,06/14/2017,5:00 PM,9:00 PM,Concert Series 2017 Concert 1Jazz Mini Series,Concert Series 2017,Currently booking for Event.  Please check back for final show details soon.,Outside on the Plaza - by the Museum Staircase,FREE, 
3333,04/26/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3333,04/19/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
3333,04/12/2017,10:00 AM,2:00 PM,2016-17 Winter Farmer's Market,Winter Farmer's Market,Come to the Empire State Plaza Farmer's Market.  A NYS grower/producer only market.  We put the Fresh in freshest  so come and treat yourself to great fruits  vegetables  meats  beverages  plants  bread and so much more.  High quality  low prices - makes this the perfect farmer to consumer place to shop!,Inside on the Concourse at the Empire State Plaza,Free, 
